date,value_weighted_return
1986-02-28,0.072501
1986-03-31,0.053887
1986-04-30,-0.007903
1986-05-30,0.050847
1986-06-30,0.014244
1986-07-31,-0.0597
1986-08-29,0.066183
1986-09-30,-0.07902
1986-10-31,0.049305
1986-11-28,0.015093
1986-12-31,-0.026387
1987-01-30,0.128499
1987-02-27,0.047922
1987-03-31,0.023665
1987-04-30,-0.016996
1987-05-29,0.005123
1987-06-30,0.043655
1987-07-31,0.044247
1987-08-31,0.037147
1987-09-30,-0.020773
1987-10-30,-0.225361
1987-11-30,-0.072272
1987-12-31,0.070324
1988-01-29,0.044875
1988-02-29,0.051691
1988-03-31,-0.016598
1988-04-29,0.010993
1988-05-31,0.000447
1988-06-30,0.051457
1988-07-29,-0.007272
1988-08-31,-0.028006
1988-09-30,0.037204
1988-10-31,0.017645
1988-11-30,-0.016411
1988-12-30,0.021071
1989-01-31,0.066101
1989-02-28,-0.016442
1989-03-31,0.021465
1989-04-28,0.048207
1989-05-31,0.039336
1989-06-30,-0.004856
1989-07-31,0.077128
1989-08-31,0.022126
1989-09-29,-0.001473
1989-10-31,-0.029285
1989-11-30,0.017816
1989-12-29,0.018294
1990-01-31,-0.070114
1990-02-28,0.0149
1990-03-30,0.024148
1990-04-30,-0.028283
1990-05-31,0.088935
1990-06-29,-0.004193
1990-07-31,-0.009392
1990-08-31,-0.091903
1990-09-28,-0.053844
1990-10-31,-0.012499
1990-11-30,0.065742
1990-12-31,0.029511
1991-01-31,0.049083
1991-02-28,0.075848
1991-03-28,0.028922
1991-04-30,0.003311
1991-05-31,0.040737
1991-06-28,-0.044024
1991-07-31,0.046779
1991-08-30,0.026807
1991-09-30,-0.010979
1991-10-31,0.017847
1991-11-29,-0.037291
1991-12-31,0.106782
1992-01-31,-0.001164
1992-02-28,0.013355
1992-03-31,-0.023699
1992-04-30,0.013414
1992-05-29,0.006407
1992-06-30,-0.019258
1992-07-31,0.0399
1992-08-31,-0.020819
1992-09-30,0.012461
1992-10-30,0.010983
1992-11-30,0.040181
1992-12-31,0.01774
1993-01-29,0.012616
1993-02-26,0.005425
1993-03-31,0.025089
1993-04-30,-0.025391
1993-05-28,0.029572
1993-06-30,0.005434
1993-07-30,-0.000806
1993-08-31,0.039496
1993-09-30,0.000629
1993-10-29,0.018051
1993-11-30,-0.017601
1993-12-31,0.019554
1994-01-31,0.031459
1994-02-28,-0.024207
1994-03-31,-0.045795
1994-04-29,0.009494
1994-05-31,0.009352
1994-06-30,-0.02788
1994-07-29,0.030657
1994-08-31,0.042629
1994-09-30,-0.018338
1994-10-31,0.014521
1994-11-30,-0.037206
1994-12-30,0.01258
1995-01-31,0.020353
1995-02-28,0.039647
1995-03-31,0.027064
1995-04-28,0.025048
1995-05-31,0.033909
1995-06-30,0.031142
1995-07-31,0.040801
1995-08-31,0.0093
1995-09-29,0.036354
1995-10-31,-0.011339
1995-11-30,0.042771
1995-12-29,0.015192
1996-01-31,0.028121
1996-02-29,0.016353
1996-03-29,0.010914
1996-04-30,0.02556
1996-05-31,0.02681
1996-06-28,-0.00829
1996-07-31,-0.053852
1996-08-30,0.032445
1996-09-30,0.052985
1996-10-31,0.013671
1996-11-29,0.065593
1996-12-31,-0.01138
1997-01-31,0.053473
1997-02-28,-0.001067
1997-03-31,-0.044889
1997-04-30,0.042396
1997-05-30,0.07164
1997-06-30,0.044081
1997-07-31,0.076513
1997-08-29,-0.036323
1997-09-30,0.058453
1997-10-31,-0.034433
1997-11-28,0.030354
1997-12-31,0.017822
1998-01-30,0.004511
1998-02-27,0.073321
1998-03-31,0.051273
1998-04-30,0.010924
1998-05-29,-0.025746
1998-06-30,0.031839
1998-07-31,-0.023377
1998-08-31,-0.15786
1998-09-30,0.063814
1998-10-30,0.074406
1998-11-30,0.062001
1998-12-31,0.063058
1999-01-29,0.038447
1999-02-26,-0.038083
1999-03-31,0.037926
1999-04-30,0.049092
1999-05-28,-0.020708
1999-06-30,0.050824
1999-07-30,-0.030834
1999-08-31,-0.009918
1999-09-30,-0.022669
1999-10-29,0.062107
1999-11-30,0.036822
1999-12-31,0.083745
2000-01-31,-0.039622
2000-02-29,0.03176
2000-03-31,0.053499
2000-04-28,-0.059519
2000-05-31,-0.038863
2000-06-30,0.051576
2000-07-31,-0.017679
2000-08-31,0.074984
2000-09-29,-0.051154
2000-10-31,-0.02448
2000-11-30,-0.102365
2000-12-29,0.02045
2001-01-31,0.039573
2001-02-28,-0.099084
2001-03-30,-0.070408
2001-04-30,0.083834
2001-05-31,0.010442
2001-06-29,-0.017561
2001-07-31,-0.018284
2001-08-31,-0.05898
2001-09-28,-0.091497
2001-10-31,0.027847
2001-11-30,0.078789
2001-12-31,0.017854
2002-01-31,-0.015966
2002-02-28,-0.0217
2002-03-28,0.044698
2002-04-30,-0.0496
2002-05-31,-0.01051
2002-06-28,-0.070259
2002-07-31,-0.081125
2002-08-30,0.007949
2002-09-30,-0.099923
2002-10-31,0.07494
2002-11-29,0.061282
2002-12-31,-0.053334
2003-01-31,-0.023367
2003-02-28,-0.015417
2003-03-31,0.010321
2003-04-30,0.082768
2003-05-30,0.063471
2003-06-30,0.016346
2003-07-31,0.023112
2003-08-29,0.024965
2003-09-30,-0.00912
2003-10-31,0.060361
2003-11-28,0.016594
2003-12-31,0.045476
2004-01-30,0.023042
2004-02-27,0.015443
2004-03-31,-0.010662
2004-04-30,-0.024222
2004-05-28,0.014068
2004-06-30,0.021611
2004-07-30,-0.037698
2004-08-31,0.002703
2004-09-30,0.020556
2004-10-29,0.017806
2004-11-30,0.048214
2004-12-31,0.03517
2005-01-31,-0.026546
2005-02-28,0.022646
2005-03-31,-0.016944
2005-04-29,-0.025206
2005-05-31,0.037954
2005-06-30,0.011529
2005-07-29,0.043358
2005-08-31,-0.005958
2005-09-30,0.0106
2005-10-31,-0.020866
2005-11-30,0.040326
2005-12-30,0.003458
2006-01-31,0.040072
2006-02-28,-0.001639
2006-03-31,0.019065
2006-04-28,0.013
2006-05-31,-0.031032
2006-06-30,-0.000391
2006-07-31,-0.001912
2006-08-31,0.025042
2006-09-29,0.019425
2006-10-31,0.037153
2006-11-30,0.023737
2006-12-29,0.010857
2007-01-31,0.019387
2007-02-28,-0.014006
2007-03-30,0.012954
2007-04-30,0.039834
2007-05-31,0.038953
2007-06-29,-0.014747
2007-07-31,-0.03179
2007-08-31,0.011593
2007-09-28,0.040822
2007-10-31,0.02591
2007-11-30,-0.049362
2007-12-31,-0.004405
2008-01-31,-0.062218
2008-02-29,-0.021697
2008-03-31,-0.010444
2008-04-30,0.051199
2008-05-30,0.023935
2008-06-30,-0.078436
2008-07-31,-0.013413
2008-08-29,0.010597
2008-09-30,-0.098172
2008-10-31,-0.184833
2008-11-28,-0.084681
2008-12-31,0.022232
2009-01-30,-0.077471
2009-02-27,-0.100166
2009-03-31,0.086803
2009-04-30,0.109466
2009-05-29,0.067787
2009-06-30,-0.003019
2009-07-31,0.081779
2009-08-31,0.03151
2009-09-30,0.045281
2009-10-30,-0.028072
2009-11-30,0.057075
2009-12-31,0.028475
2010-01-29,-0.037172
2010-02-26,0.034744
2010-03-31,0.063668
2010-04-30,0.020036
2010-05-28,-0.07924
2010-06-30,-0.05078
2010-07-30,0.07036
2010-08-31,-0.042863
2010-09-30,0.091628
2010-10-29,0.038591
2010-11-30,0.005117
2010-12-31,0.067182
2011-01-31,0.019183
2011-02-28,0.038156
2011-03-31,0.003341
2011-04-29,0.028597
2011-05-31,-0.014948
2011-06-30,-0.018447
2011-07-29,-0.022534
2011-08-31,-0.057564
2011-09-30,-0.084983
2011-10-31,0.114146
2011-11-30,-0.00627
2011-12-30,0.003676
2012-01-31,0.054106
2012-02-29,0.041225
2012-03-30,0.02402
2012-04-30,-0.006829
2012-05-31,-0.06559
2012-06-29,0.038151
2012-07-31,0.010307
2012-08-31,0.026317
2012-09-28,0.026513
2012-10-31,-0.014055
2012-11-30,0.006217
2012-12-31,0.012569
2013-01-31,0.054142
2013-02-28,0.008282
2013-03-28,0.035295
2013-04-30,0.014939
2013-05-31,0.019128
2013-06-28,-0.015072
2013-07-31,0.052658
2013-08-30,-0.02575
2013-09-30,0.037497
2013-10-31,0.039889
2013-11-29,0.024956
2013-12-31,0.02614
2014-01-31,-0.03002
2014-02-28,0.046198
2014-03-31,0.00454
2014-04-30,0.001573
2014-05-30,0.020254
2014-06-30,0.027973
2014-07-31,-0.020555
2014-08-29,0.040205
2014-09-30,-0.025196
2014-10-31,0.021164
2014-11-28,0.021104
2014-12-31,-0.003659
2015-01-30,-0.027163
2015-02-27,0.055915
2015-03-31,-0.010397
2015-04-30,0.008766
2015-05-29,0.010277
2015-06-30,-0.019231
2015-07-31,0.012108
2015-08-31,-0.059926
2015-09-30,-0.033756
2015-10-30,0.073937
2015-11-30,0.002404
2015-12-31,-0.022209
2016-01-29,-0.057085
2016-02-29,0.00062
2016-03-31,0.070491
2016-04-29,0.011718
2016-05-31,0.01434
2016-06-30,0.002947
2016-07-29,0.038815
2016-08-31,0.0028
2016-09-30,0.003013
2016-10-31,-0.021544
2016-11-30,0.040488
2016-12-30,0.018763
2017-01-31,0.022153
2017-02-28,0.032598
2017-03-31,0.002062
2017-04-28,0.009655
2017-05-31,0.009335
2017-06-30,0.009571
2017-07-31,0.020277
2017-08-31,0.0016
2017-09-29,0.023729
2017-10-31,0.019275
2017-11-30,0.027232
2017-12-29,0.012122
2018-01-31,0.050577
2018-02-28,-0.039455
2018-03-29,-0.018421
2018-04-30,0.004679
2018-05-31,0.026146
2018-06-29,0.005359
2018-07-31,0.031573
2018-08-31,0.030233
2018-09-28,0.000425
2018-10-31,-0.074045
2018-11-30,0.018512
2018-12-31,-0.08989
2019-01-31,0.088294
2019-02-28,0.032724
2019-03-29,0.012962
2019-04-30,0.037893
2019-05-31,-0.061679
2019-06-28,0.067279
2019-07-31,0.011854
2019-08-30,-0.020339
2019-09-30,0.016033
2019-10-31,0.019257
2019-11-29,0.034999
2019-12-31,0.028489
2020-01-31,-0.001728
2020-02-28,-0.077918
2020-03-31,-0.141733
2020-04-30,0.129674
2020-05-29,0.053739
2020-06-30,0.025299
2020-07-31,0.055532
2020-08-31,0.068442
2020-09-30,-0.035056
2020-10-30,-0.020178
2020-11-30,0.123707
2020-12-31,0.045048
2021-01-29,-0.000631
2021-02-26,0.029196
2021-03-31,0.030573
2021-04-30,0.04819
2021-05-28,0.007092
2021-06-30,0.023422
2021-07-30,0.011828
2021-08-31,0.027146
2021-09-30,-0.042243
2021-10-29,0.064651
2021-11-30,-0.018351
2021-12-31,0.033341
2022-01-31,-0.059823
2022-02-28,-0.021838
2022-03-31,0.030506
2022-04-29,-0.089387
2022-05-31,-0.002113
2022-06-30,-0.083998
2022-07-29,0.090351
2022-08-31,-0.036233
2022-09-30,-0.091323
2022-10-31,0.077394
2022-11-30,0.052354
2022-12-30,-0.05712
2023-01-31,0.071823
2023-02-28,-0.024666
2023-03-31,0.02395
2023-04-28,0.008976
2023-05-31,0.000708
2023-06-30,0.066183
2023-07-31,0.035618
2023-08-31,-0.020608
2023-09-29,-0.047391
2023-10-31,-0.028865
2023-11-30,0.092053
